"Name","Link","Price_AMD","Price_USD","State","City","Address","Zipcode","Photos_Count","Ranking_Category","Rank_in_Category","N_Hotels_in_Category","Review_Count","Average_Score","Excellent_Rating","Good_Rating","Average_Rating","Poor_Rating","Terrible_Rating","Certificate","Language_distribution","Provider","Free_WiFi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant"
"""G"" Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d8785941-Reviews-G_Hotel-Yerevan.html",9977,21,"Yerevan","Yerevan","Erebuni.Ulitsa Ai_vazovskogo","0041",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Agoda.com","0","0","0","0","0","0","0"
"14th Floor Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d2038096-Reviews-14th_Floor_Hotel-Yerevan.html",33589,69,"Yerevan","Yerevan","Amiryan str. 4/6","0010",119,"Hotels in Yerevan",24,83,90,4.5,6,6,5,1,2,1,"{'English': 44, 'Russian': 39, 'German': 3}","Expedia.com","1","0","1","0","0","0","0"
"17 Nalbandyan Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d9608160-Reviews-17_Nalbandyan_Hostel-Yerevan.html",14550,30,"Yerevan","Yerevan","Nalbandyan str. 17/7","0010",0,"Specialty Lodging in Yerevan",140,300,2,1,0,0,0,0,2,0,"{'English': 2}","Booking.com","0","1","0","0","0","0","1"
"2x2 Cinema-Bar Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d7318900-Reviews-2x2_Cinema_Bar_Hotel-Yerevan.html",266667,549,"Yerevan","Yerevan","Khangyan Street 31","0010",15,"Specialty Lodging in Yerevan",33,300,11,4.5,9,1,1,0,0,0,"{'English': 5, 'Russian': 4, 'Polish': 2}","Booking.com","1","0","1","0","0","0","0"
"3/3 Appart Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d15639048-Reviews-3_3_Appart_Hotel-Yerevan.html",19990,41,"Yerevan","Yerevan","Bagramyan Marshal ave 3/3","0019",6,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"3D Guest House","https://www.tripadvisor.com//Hotel_Review-g1160895-d12436502-Reviews-3D_Guest_House-Dilijan_Tavush_Province.html",18000,37,"Tavush Province","Dilijan","Moldovakan 7/2","3905",5,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"4Guest Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d13485222-Reviews-4Guest_Hotel-Yerevan.html",17000,35,"Yerevan","Yerevan","H. Hovsepian 31","0046",8,"Specialty Lodging in Yerevan",65,300,3,5,2,0,0,0,0,0,"{'English': 2, 'Russian': 1}","Booking.com","1","0","1","0","0","0","0"
"5 Rooms","https://www.tripadvisor.com//Hotel_Review-g293932-d12916039-Reviews-5_Rooms-Yerevan.html",NA,NA,"Yerevan","Yerevan","21 Gevorg Kochar Street","0009",11,"B&Bs / Inns in Yerevan",41,144,4,4.5,0,0,1,0,0,0,"{'English': 1, 'Russian': 3}","Hotels.com","1","0","0","0","0","0","1"
"5. Element Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d12455033-Reviews-5_Element_Hostel-Yerevan.html",14990,31,"Yerevan","Yerevan","Gai Avenue 57/1","0015",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"5th Floor Guests House Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d12360073-Reviews-5th_Floor_Guests_House_Yerevan-Yerevan.html",NA,NA,"Yerevan","Yerevan","Vratsyan Street 71",NA,8,"Specialty Lodging in Yerevan",50,300,5,5,3,0,0,0,0,0,"{'English': 3, 'Russian': 2}","Expedia.com","0","0","0","0","0","0","0"
"Adams Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d12456038-Reviews-Adams_Hotel-Yerevan.html",22500,46,"Yerevan","Yerevan","Charyentsa str. 90/7","0025",6,"Specialty Lodging in Yerevan",27,300,11,5,9,2,0,0,0,0,"{'English': 6, 'Russian': 5}","Booking.com","1","0","1","0","0","0","0"
"Adamyan 11 Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15232919-Reviews-Adamyan_11_Hostel-Yerevan.html",9990,21,"Yerevan","Yerevan","Petros Adamyan Street 11","0010",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Afina Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d10682113-Reviews-Afina_Hotel-Yerevan.html",8333,17,"Yerevan","Yerevan","Tbilisyan St., 1",NA,1,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"Agasu Tun","https://www.tripadvisor.com//Hotel_Review-g2426280-d8618166-Reviews-Agasu_Tun-Odzun_Alaverdi_Lori_Province.html",29167,60,"Lori Province","Alaverdi",NA,"1731",23,"Specialty Lodging in Odzun",4,7,3,5,1,0,0,0,0,0,"{'English': 1, 'Danish': 1, 'Russian': 1}","Booking.com","1","0","1","0","0","0","0"
"Aghababyan's Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d15855853-Reviews-Aghababyan_s_Hotel-Yerevan.html",44523,92,"Yerevan","Yerevan","Nazarbyekyan Tovmas str. 25/5","0057",33,"Hotels in Yerevan",52,83,7,5,5,0,0,0,0,0,"{'English': 5, 'Russian': 2}","Expedia.com","0","0","0","0","0","0","0"
"Aghveran Ararat Resort Hotel","https://www.tripadvisor.com//Hotel_Review-g5921305-d10508752-Reviews-Aghveran_Ararat_Resort_Hotel-Arzakan_Kotayk_Province.html",10190,21,"Kotayk Province","Arzakan","Antarain Street 11","2503",63,"Hotels in Arzakan",1,4,14,4,4,2,1,1,0,0,"{'English': 8, 'Russian': 6}","Booking.com","0","0","0","0","0","0","0"
"Aghveran Hotel","https://www.tripadvisor.com//Hotel_Review-g5921305-d3217206-Reviews-Aghveran_Hotel-Arzakan_Kotayk_Province.html",12492,26,"Kotayk Province","Arzakan","Antarayin Street 1","2503",56,"Hotels in Arzakan",2,4,62,4,2,1,7,4,8,0,"{'English': 38, 'Russian': 23, 'Polish': 1}","Booking.com","1","0","1","0","0","0","0"
"Akhtamar Hotel","https://www.tripadvisor.com//Hotel_Review-g666442-d2307118-Reviews-Akhtamar_Hotel-Sevan_Lake_Sevan_Gegharkunik_Province.html",25250,52,"Gegharkunik Province","Lake Sevan","Mashtotsner 3, Tsovagyugh village",NA,33,"Hotels in Sevan",1,4,11,3.5,0,5,5,0,1,0,"{'Russian': 8, 'English': 1, 'Spanish': 1, 'Italian': 1}","Booking.com","1","0","1","0","0","0","0"
"Alashkert Hotel","https://www.tripadvisor.com//Hotel_Review-g666443-d11792338-Reviews-Alashkert_Hotel-Martuni_Lake_Sevan_Gegharkunik_Province.html",NA,NA,"Gegharkunik Province","Lake Sevan","Yerevanyan st., building 29","1401",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","TripAdvisor","0","0","0","0","0","0","0"
"Alba Hotel Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d15109993-Reviews-Alba_Hotel_Yerevan-Yerevan.html",18325,38,"Yerevan","Yerevan","Proshyan 1st Lane, 32","0019",25,"Hotels in Yerevan",60,83,7,4,4,1,1,1,0,0,"{'Russian': 6, 'English': 1}","Booking.com","1","1","1","0","0","0","0"
"Albert House","https://www.tripadvisor.com//Hotel_Review-g293932-d8787032-Reviews-Albert_House-Yerevan.html",10000,21,"Yerevan","Yerevan","Zavaryan str. 12/1","0018",34,"B&Bs / Inns in Yerevan",17,144,22,4.5,5,5,1,1,0,0,"{'Russian': 13, 'English': 9}","Booking.com","1","0","1","0","0","0","0"
"Aleppo Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d7891055-Reviews-Aleppo_Hotel-Yerevan.html",8000,16,"Yerevan","Yerevan","Sebastia Street 10/3","1234",1,"B&Bs / Inns in Yerevan",61,144,3,3.5,1,0,0,1,0,0,"{'English': 2, 'Italian': 1}","Booking.com","1","0","1","0","0","0","0"
"Alex Guest House","https://www.tripadvisor.com//Hotel_Review-g1160895-d15359726-Reviews-Alex_Guest_House-Dilijan_Tavush_Province.html",NA,NA,"Tavush Province","Dilijan","Gorki","3901",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","TripAdvisor","0","0","0","0","0","0","0"
"Alex Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d14803097-Reviews-Alex_Hotel-Yerevan.html",11242,23,"Yerevan","Yerevan","Admiral Isakov Avenue, 3/13","0004",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"Alexandrapol Hotel","https://www.tripadvisor.com//Hotel_Review-g815353-d3393597-Reviews-Alexandrapol_Hotel-Gyumri_Shirak_Province.html",15200,31,"Shirak Province","Gyumri","70, Mayakovskui Str",NA,57,"B&Bs / Inns in Gyumri",2,28,30,4,9,1,8,2,0,0,"{'English': 18, 'Russian': 8, 'French': 2, 'Italian': 2}","Booking.com","1","0","1","0","0","0","0"
"Alhmas B&B","https://www.tripadvisor.com//Hotel_Review-g815353-d13086133-Reviews-Alhmas_B_B-Gyumri_Shirak_Province.html",14900,31,"Shirak Province","Gyumri","Garegin Nzhdeh Avenue 5","3123",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"Alhmas Hotel","https://www.tripadvisor.com//Hotel_Review-g815353-d3537556-Reviews-Alhmas_Hotel-Gyumri_Shirak_Province.html",9155,19,"Shirak Province","Gyumri","Garegin Nzhdehi str., 1",NA,0,"B&Bs / Inns in Gyumri",13,28,2,3.5,0,1,1,0,0,0,"{'English': 0, 'Hebrew': 1, 'Russian': 1}","Agoda.com","0","0","0","0","0","0","0"
"Alik Apartments on Abovyan 16","https://www.tripadvisor.com//Hotel_Review-g293932-d16744668-Reviews-Alik_Apartments_on_Abovyan_16-Yerevan.html",33325,69,"Yerevan","Yerevan","16 Abovyan str., Apt 21","0001",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Aliq Resort","https://www.tripadvisor.com//Hotel_Review-g2151208-d2443154-Reviews-Aliq_Resort-Tsakhkadzor_Kotayk_Province.html",35000,72,"Kotayk Province","Tsakhkadzor","Isahakyan str 14","2310",6,"Hotels in Tsakhkadzor",14,19,8,3.5,1,5,0,1,1,0,"{'English': 6, 'Russian': 2}","Booking.com","1","0","0","1","0","0","0"
"All Love Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15221354-Reviews-All_Love_Hostel-Yerevan.html",25000,51,"Yerevan","Yerevan","Tumanyan O. str. 27","0002",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"All Seasons Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d14998416-Reviews-All_Seasons_Hostel-Yerevan.html",11000,23,"Yerevan","Yerevan","7 Khanjyan Street","0012",11,"Specialty Lodging in Yerevan",145,300,2,5,2,0,0,0,0,0,"{'English': 2}","Booking.com","0","0","0","0","0","0","0"
"Alnur Hostel Armenia","https://www.tripadvisor.com//Hotel_Review-g293932-d15352887-Reviews-Alnur_Hostel_Armenia-Yerevan.html",37492,77,"Yerevan","Yerevan","Dro street 4th lane House 15","0069",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Alpina Hotel","https://www.tripadvisor.com//Hotel_Review-g2151208-d6160816-Reviews-Alpina_Hotel-Tsakhkadzor_Kotayk_Province.html",NA,NA,"Kotayk Province","Tsakhkadzor","Charentsa ln 7","2310",35,"Specialty Lodging in Tsakhkadzor",1,27,27,4.5,7,5,4,0,1,0,"{'Russian': 17, 'English': 8, 'Polish': 1, 'Portuguese': 1}","TripAdvisor","1","0","1","0","0","0","0"
"Alva Hotel & Spa","https://www.tripadvisor.com//Hotel_Review-g2151208-d4879277-Reviews-Alva_Hotel_Spa-Tsakhkadzor_Kotayk_Province.html",24992,51,"Kotayk Province","Tsakhkadzor","Tandzaghbyuri 40","2310",57,"Hotels in Tsakhkadzor",6,19,39,4.5,0,4,3,0,2,0,"{'Russian': 31, 'English': 8}","Booking.com","1","0","1","0","0","0","0"
"Alvard Nersisyan B6B","https://www.tripadvisor.com//Hotel_Review-g2426280-d5074518-Reviews-Alvard_Nersisyan_B6B-Odzun_Alaverdi_Lori_Province.html",10825,22,"Lori Province","Alaverdi","3rd St, 31",NA,10,"Specialty Lodging in Odzun",2,7,2,5,2,0,0,0,0,0,"{'English': 1, 'Russian': 1}","Booking.com","0","0","0","0","0","0","0"
"Amanz Homestay","https://www.tripadvisor.com//Hotel_Review-g293932-d15339193-Reviews-Amanz_Homestay-Yerevan.html",16658,34,"Yerevan","Yerevan","Nubarashen A3 Distt. 8","0071",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Amber","https://www.tripadvisor.com//Hotel_Review-g293932-d7134404-Reviews-Amber-Yerevan.html",17250,35,"Yerevan","Yerevan","Myasnikyana ave 1/6","0025",26,"Hotels in Yerevan",56,83,11,4.5,8,0,1,2,0,0,"{'Russian': 9, 'English': 2}","Booking.com","1","0","1","0","0","0","0"
"Amira Palace Hotel & Sauna","https://www.tripadvisor.com//Hotel_Review-g293932-d9802364-Reviews-Amira_Palace_Hotel_Sauna-Yerevan.html",20818,43,"Yerevan","Yerevan","Myasnikyana ave 55/7","0025",25,NA,0,0,0,0,0,0,0,0,0,0,"[]","Agoda.com","0","0","0","0","0","0","0"
"Amrots Hotel","https://www.tripadvisor.com//Hotel_Review-g2711288-d7593566-Reviews-Amrots_Hotel-Vayk_Vayots_Dzor_Province.html",11990,25,"Vayots Dzor Province","Vayk","Erkrabanner Street 2","3801",51,"Hotels in Vayk",2,3,16,4.5,8,5,2,1,0,0,"{'English': 9, 'Russian': 5, 'French': 1, 'Italian': 1}","Booking.com","1","0","1","0","0","0","0"
"Anahit Guest House","https://www.tripadvisor.com//Hotel_Review-g1438527-d7385605-Reviews-Anahit_Guest_House-Vanadzor_Lori_Province.html",18333,38,"Lori Province","Vanadzor","Zoravar Andranik str. 52","2001",0,"B&Bs / Inns in Vanadzor",6,16,3,5,3,0,0,0,0,0,"{'English': 3}","Booking.com","1","0","1","0","0","0","0"
"Anahit Rest House","https://www.tripadvisor.com//Hotel_Review-g1066129-d11999682-Reviews-Anahit_Rest_House-Stepanavan_Lori_Province.html",12492,26,"Lori Province","Stepanavan","Antarayin St., 1","0034",19,"B&Bs / Inns in Stepanavan",4,6,1,4,0,1,0,0,0,0,"{'Russian': 1, 'English': 0}","Booking.com","1","0","1","0","0","0","0"
"Anahit Stepanyan's B&B","https://www.tripadvisor.com//Hotel_Review-g293932-d2694256-Reviews-Anahit_Stepanyan_s_B_B-Yerevan.html",14977,31,"Yerevan","Yerevan","Sayat Novy str. 5/25","0001",30,"B&Bs / Inns in Yerevan",6,144,82,4.5,9,7,2,2,2,0,"{'English': 59, 'Russian': 8, 'French': 6}","Expedia.com","1","1","0","0","0","0","0"
"Anait","https://www.tripadvisor.com//Hotel_Review-g1066129-d6163427-Reviews-Anait-Stepanavan_Lori_Province.html",25833,53,"Lori Province","Stepanavan","Antarain St., 1",NA,0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","1","0","0","1"
"Andranik B&B","https://www.tripadvisor.com//Hotel_Review-g666439-d5984373-Reviews-Andranik_B_B-Goris_Syunik_Province.html",40800,84,"Syunik Province","Goris","Orbelian St., 23",NA,9,"B&Bs / Inns in Goris",12,30,6,4,1,0,0,0,0,0,"{'English': 1, 'Russian': 4, 'French': 1}","Marriott Hotels","1","0","0","0","0","0","0"
"Andrievskie Family House","https://www.tripadvisor.com//Hotel_Review-g293932-d12514320-Reviews-Andrievskie_Family_House-Yerevan.html",NA,NA,"Yerevan","Yerevan",NA,"0091",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Hotels.com","0","0","0","0","0","0","0"
"Ani Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d13295220-Reviews-Ani_Hostel-Yerevan.html",9989,21,"Yerevan","Yerevan","Tumanyan O. str. 38","0002",18,"Specialty Lodging in Yerevan",138,300,7,2.5,2,0,2,0,3,0,"{'English': 3, 'Russian': 2, 'Dutch': 1, 'Turkish': 1}","Booking.com","1","0","1","0","0","0","0"
"Ani Plaza Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d308331-Reviews-Ani_Plaza_Hotel-Yerevan.html",29167,60,"Yerevan","Yerevan","19 Sayat Nova Ave","0001",327,"Hotels in Yerevan",21,83,462,4,9,4,3,4,1,0,"{'English': 203, 'Russian': 124, 'Italian': 49}","Booking.com","1","0","0","1","0","0","0"
"Ani Resort","https://www.tripadvisor.com//Hotel_Review-g6582305-d6563378-Reviews-Ani_Resort-Artavaz_Kotayk_Province.html",NA,NA,"Kotayk Province","Artavaz","Hankavan",NA,78,NA,0,0,24,4,3,6,2,0,3,0,"{'English': 14, 'Russian': 10}","Booking.com","0","1","1","0","0","0","0"
"AnnaBella Boutique Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d15618621-Reviews-AnnaBella_Boutique_Hotel-Yerevan.html",15000,31,"Yerevan","Yerevan","Mamikonyants str. 17","0014",3,"Specialty Lodging in Yerevan",88,300,1,5,1,0,0,0,0,0,"{'English': 1}","Booking.com","1","0","1","0","0","0","0"
"Antarayin Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d8337672-Reviews-Antarayin_Hotel-Yerevan.html",NA,NA,"Yerevan","Yerevan",NA,"0025",10,NA,0,0,0,0,0,0,0,0,0,0,"[]","TripAdvisor","1","0","1","0","0","0","0"
"Anush Hotel","https://www.tripadvisor.com//Hotel_Review-g2708780-d6163157-Reviews-Anush_Hotel-Jermuk_Vayots_Dzor_Province.html",11667,24,"Vayots Dzor Province","Jermuk","Vardanyana St., 2",NA,4,"B&Bs / Inns in Jermuk",2,10,10,4,3,5,2,0,0,0,"{'Russian': 7, 'English': 4}","Booking.com","0","0","0","0","0","0","1"
"Aoife Guest House","https://www.tripadvisor.com//Hotel_Review-g2426280-d13159270-Reviews-Aoife_Guest_House-Odzun_Alaverdi_Lori_Province.html",23333,48,"Lori Province","Alaverdi","Mashtots street 45","1737",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"Apartaments Tigran Petrosyan 39/5","https://www.tripadvisor.com//Hotel_Review-g293932-d10102091-Reviews-Apartaments_Tigran_Petrosyan_39_5-Yerevan.html",8600,18,"Yerevan","Yerevan","Pyetrosyana Tigrana str. 39/5","0054",0,"Specialty Lodging in Yerevan",112,300,4,4,1,0,0,0,1,0,"{'English': 2, 'Russian': 2}","Booking.com","0","0","0","0","0","0","0"
"ApartHotel Arshakunyants","https://www.tripadvisor.com//Hotel_Review-g293932-d11622406-Reviews-ApartHotel_Arshakunyants-Yerevan.html",11667,24,"Yerevan","Yerevan","Arshakunyats ave 11","0023",0,"Specialty Lodging in Yerevan",99,300,1,5,1,0,0,0,0,0,"{'English': 1}","Booking.com","1","0","1","0","0","0","0"
"Apartment and Tours","https://www.tripadvisor.com//Hotel_Review-g293932-d15809685-Reviews-Apartment_and_Tours-Yerevan.html",12492,26,"Yerevan","Yerevan","25 Abovyan str., Apt 9","0009",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Apartment Arami (New Building)","https://www.tripadvisor.com//Hotel_Review-g293932-d15751581-Reviews-Apartment_Arami_New_Building-Yerevan.html",NA,NA,"Yerevan","Yerevan","Arami str. 4/3","0010",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","TripAdvisor","0","0","0","0","0","0","0"
"Apartment In The Center Of Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d15801733-Reviews-Apartment_In_The_Center_Of_Yerevan-Yerevan.html",14992,31,"Yerevan","Yerevan","Abovyan str. 16/3","0001",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Apartments at Pushkin Street","https://www.tripadvisor.com//Hotel_Review-g293932-d6681712-Reviews-Apartments_at_Pushkin_Street-Yerevan.html",9588,20,"Yerevan","Yerevan","Pushkina str. 43","0002",6,"Specialty Lodging in Yerevan",117,300,1,5,1,0,0,0,0,0,"{'English': 0, 'Russian': 1}","Agoda.com","0","0","0","0","0","0","0"
"Apartments In Dilijan","https://www.tripadvisor.com//Hotel_Review-g1160895-d15363746-Reviews-Apartments_In_Dilijan-Dilijan_Tavush_Province.html",NA,NA,"Tavush Province","Dilijan","Gayi Street House 90","3901",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Agoda.com","0","0","0","0","0","0","0"
"Apartments In Tsakhadzor","https://www.tripadvisor.com//Hotel_Review-g2151208-d15808928-Reviews-Apartments_In_Tsakhadzor-Tsakhkadzor_Kotayk_Province.html",30000,62,"Kotayk Province","Tsakhkadzor","Grigor Magistros Street 9","2310",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Apartments on Hanrapetutyan Street","https://www.tripadvisor.com//Hotel_Review-g293932-d6622868-Reviews-Apartments_on_Hanrapetutyan_Street-Yerevan.html",NA,NA,"Yerevan","Yerevan","Anrapyetutsyan str. 67","0010",0,"Specialty Lodging in Yerevan",131,300,2,3,1,0,0,0,1,0,"{'English': 2}","Hotels.com","1","0","1","0","0","0","0"
"Apartments","https://www.tripadvisor.com//Hotel_Review-g293932-d16645651-Reviews-Apartments-Yerevan.html",25000,51,"Yerevan","Yerevan","Abovyan Pogots 16, Bldg 3","0001",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Apri Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d13493137-Reviews-Apri_Hostel-Yerevan.html",13075,27,"Yerevan","Yerevan","prospekt Marshala Bagramyana 3a","0019",52,"Specialty Lodging in Yerevan",45,300,6,5,5,0,0,0,0,0,"{'Russian': 3, 'English': 1, 'Polish': 1}","Booking.com","1","0","1","0","0","0","0"
"Apricot Aghveran Resort","https://www.tripadvisor.com//Hotel_Review-g5921305-d14934630-Reviews-Apricot_Aghveran_Resort-Arzakan_Kotayk_Province.html",9977,21,"Kotayk Province","Arzakan","Antarayin ST 4","2503",68,"Specialty Lodging in Arzakan",1,2,8,5,7,0,0,0,0,0,"{'English': 7, 'Russian': 1}","Agoda.com","0","0","0","0","0","0","0"
"Apricot Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d6557585-Reviews-Apricot_Hostel-Yerevan.html",29118,60,"Yerevan","Yerevan","Kajaznuni Street 14 4","0013",22,"Specialty Lodging in Yerevan",22,300,33,4.5,5,5,2,1,0,0,"{'Russian': 15, 'English': 13, 'German': 2}","Agoda.com","1","0","1","0","0","0","0"
"Apricot Hotel Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d15816804-Reviews-Apricot_Hotel_Yerevan-Yerevan.html",25333,52,"Yerevan","Yerevan","Paronyana str. 15/3","0015",32,"Hotels in Yerevan",55,83,6,5,5,1,0,0,0,0,"{'English': 3, 'Russian': 3}","Booking.com","1","0","1","0","0","0","0"
"Apricot Hotels and Resorts","https://www.tripadvisor.com//Hotel_Review-g5921305-d15810602-Reviews-Apricot_Hotels_and_Resorts-Arzakan_Kotayk_Province.html",10817,22,"Kotayk Province","Arzakan","Aghveran Rest Zone 4/9","2503",1,NA,0,0,0,0,0,0,0,0,0,0,"[]","Expedia.com","1","0","1","0","0","0","0"
"Aquatek Resort and SPA","https://www.tripadvisor.com//Hotel_Review-g293932-d2288712-Reviews-Aquatek_Resort_and_SPA-Yerevan.html",18111,37,"Yerevan","Yerevan","Myasnikyana ave 40/2","0025",72,"B&Bs / Inns in Yerevan",46,144,35,3.5,8,2,5,6,4,0,"{'English': 16, 'Russian': 16, 'Arabic': 1}","Booking.com","1","0","1","0","0","0","0"
"Araks Hotel","https://www.tripadvisor.com//Hotel_Review-g815353-d3475092-Reviews-Araks_Hotel-Gyumri_Shirak_Province.html",6667,14,"Shirak Province","Gyumri","31 Gorki Str","377501",14,"B&Bs / Inns in Gyumri",6,28,21,3.5,1,7,0,3,0,0,"{'French': 6, 'German': 4, 'English': 4}","Booking.com","0","0","0","1","0","0","1"
"Araks","https://www.tripadvisor.com//Hotel_Review-g815353-d13807054-Reviews-Araks-Gyumri_Shirak_Province.html",21090,43,"Shirak Province","Gyumri","Gorki Street 25","3104",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Agoda.com","0","0","0","0","0","0","0"
"Aram Guest House","https://www.tripadvisor.com//Hotel_Review-g293932-d6681700-Reviews-Aram_Guest_House-Yerevan.html",8333,17,"Yerevan","Yerevan","2nd Side 18 Kiyevyan str.","0028",21,"Specialty Lodging in Yerevan",54,300,7,4.5,0,1,0,0,0,0,"{'English': 1, 'Russian': 5, 'French': 1}","Booking.com","0","0","0","0","0","0","0"
"Arame","https://www.tripadvisor.com//Hotel_Review-g2135874-d13072263-Reviews-Arame-Yeghegnadzor_Vayots_Dzor_Province.html",15833,33,"Vayots Dzor Province","Yeghegnadzor","Armeniya Khandzhyan ulitsa dom 8 Stroyeniye","3601",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Arami House","https://www.tripadvisor.com//Hotel_Review-g1160895-d8687327-Reviews-Arami_House-Dilijan_Tavush_Province.html",NA,NA,"Tavush Province","Dilijan","Kamo 34/1","3904",8,NA,0,0,0,0,0,0,0,0,0,0,"[]","TripAdvisor","1","0","1","0","0","0","0"
"Ararat Guest House","https://www.tripadvisor.com//Hotel_Review-g1160895-d2697708-Reviews-Ararat_Guest_House-Dilijan_Tavush_Province.html",NA,NA,"Tavush Province","Dilijan","Miasnikyana St. 76/15","3901",62,"B&Bs / Inns in Dilijan",11,48,37,4,0,0,0,0,0,0,"[]","Agoda.com","1","0","1","0","0","0","0"
"Ararat Health SPA","https://www.tripadvisor.com//Hotel_Review-g2708780-d6475460-Reviews-Ararat_Health_SPA-Jermuk_Vayots_Dzor_Province.html",15417,32,"Vayots Dzor Province","Jermuk","Shaumyana st. 18","3701",79,"Hotels in Jermuk",6,6,8,4,1,6,0,0,1,0,"{'Russian': 7, 'English': 1}","Booking.com","1","0","0","0","0","0","1"
"Ararat Hotel and Restaurant Complex","https://www.tripadvisor.com//Hotel_Review-g666439-d12144333-Reviews-Ararat_Hotel_and_Restaurant_Complex-Goris_Syunik_Province.html",15000,31,"Syunik Province","Goris","Yerevan roadway, building 10","3201",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Ararat hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d308332-Reviews-Ararat_hotel-Yerevan.html",31500,65,"Yerevan","Yerevan","Lusavorich G. str. 7","0015",71,"Hotels in Yerevan",61,83,95,3.5,1,6,7,0,1,0,"{'English': 66, 'Russian': 23, 'French': 3}","Booking.com","1","0","1","0","0","0","0"
"Ararat Resort","https://www.tripadvisor.com//Hotel_Review-g2151208-d11761106-Reviews-Ararat_Resort-Tsakhkadzor_Kotayk_Province.html",20000,41,"Kotayk Province","Tsakhkadzor","Mher Mkrtchyan Street 54","2310",77,"Hotels in Tsakhkadzor",3,19,67,4.5,8,1,3,1,1,1,"{'English': 34, 'Russian': 32, 'Arabic': 1}","Booking.com","1","0","1","0","0","0","0"
