"Name","Link","Price_AMD","Price_USD","State","City","Address","Zipcode","Photos_Count","Ranking_Category","Rank_in_Category","N_Hotels_in_Category","Review_Count","Average_Score","Excellent_Rating","Good_Rating","Average_Rating","Poor_Rating","Terrible_Rating","Certificate","Language_distribution","Provider","Free_WiFi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant"
"Duxov","https://www.tripadvisor.com//Hotel_Review-g1160895-d15608161-Reviews-Duxov-Dilijan_Tavush_Province.html",22971,47,"Tavush Province","Dilijan","Myasnikyan 1 Pereulok Dom Nomer 1 A 2 etazh","3906",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Agoda.com","0","0","0","0","0","0","0"
"Dyumri House","https://www.tripadvisor.com//Hotel_Review-g815353-d11963731-Reviews-Dyumri_House-Gyumri_Shirak_Province.html",27000,56,"Shirak Province","Gyumri","Garibdzhanyan ulitsa 21","3114",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","0","0","0","0","0"
"Dzorak","https://www.tripadvisor.com//Hotel_Review-g4171795-d14949196-Reviews-Dzorak-Halidzor_Syunik_Province.html",266667,549,"Syunik Province","Halidzor","Ulitsa 6-ya","3211",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Eco House and Camp","https://www.tripadvisor.com//Hotel_Review-g1160895-d13991964-Reviews-Eco_House_and_Camp-Dilijan_Tavush_Province.html",12500,26,"Tavush Province","Dilijan","Getapnya Street","3903",4,"Specialty Lodging in Dilijan",10,46,2,5,1,0,0,0,0,0,"{'English': 1, 'Russian': 1}","Booking.com","0","0","0","0","0","0","0"
"EcoKayan Dilijan Hotel","https://www.tripadvisor.com//Hotel_Review-g1160895-d14049097-Reviews-EcoKayan_Dilijan_Hotel-Dilijan_Tavush_Province.html",9575,20,"Tavush Province","Dilijan","Hovk Street 51","3901",38,"Specialty Lodging in Dilijan",1,46,11,5,0,1,0,0,0,0,"{'English': 9, 'Russian': 2}","Booking.com","1","0","1","0","0","0","0"
"EcoTourism Armenia","https://www.tripadvisor.com//Hotel_Review-g293932-d8128405-Reviews-EcoTourism_Armenia-Yerevan.html",NA,NA,"Yerevan","Yerevan","Yerevan-Abovyan highway 1st Street, 3 deadlock, 3","2213",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Eden Guest House","https://www.tripadvisor.com//Hotel_Review-g666439-d10352461-Reviews-Eden_Guest_House-Goris_Syunik_Province.html",21000,43,"Syunik Province","Goris","Orbelyanner st. 4","3201",11,"B&Bs / Inns in Goris",11,30,6,4.5,5,0,0,1,0,0,"{'English': 4, 'Spanish': 1, 'Russian': 1}","Booking.com","1","0","1","0","0","0","0"
"Eder Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d13002894-Reviews-Eder_Hostel-Yerevan.html",12492,26,"Yerevan","Yerevan","9 Gazar Parpyettsi str., Apt 1","0002",14,"Specialty Lodging in Yerevan",62,300,3,5,3,0,0,0,0,0,"{'English': 3}","Booking.com","1","0","0","0","0","0","0"
"Eger","https://www.tripadvisor.com//Hotel_Review-g293932-d13982906-Reviews-Eger-Yerevan.html",NA,NA,"Yerevan","Yerevan","Davit-Bek Street 1/1","0008",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Elegant Hotel and Resort","https://www.tripadvisor.com//Hotel_Review-g2151208-d7624007-Reviews-Elegant_Hotel_and_Resort-Tsakhkadzor_Kotayk_Province.html",45833,94,"Kotayk Province","Tsakhkadzor","Tandzaghpyur Street 11","2310",177,"Hotels in Tsakhkadzor",4,19,86,4.5,6,8,6,3,3,1,"{'Russian': 51, 'English': 32, 'French': 2, 'Italian': 1}","Expedia.com","1","0","1","0","0","0","0"
