"name","Provider","Price","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","link"
"Orsetto Hotel","Booking.com","AMD 7,500","3 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d12560121-Reviews-Orsetto_Hotel-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Hotel Ashot Erkat","Booking.com","AMD 23,990","1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d10639209-Reviews-Hotel_Ashot_Erkat-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Hotel Kambuz","Booking.com","AMD 35,000","4 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d9773233-Reviews-Hotel_Kambuz-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Hotel Sevan 3","Booking.com","AMD 7,500","2 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d12675367-Reviews-Hotel_Sevan_3-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Nirvana","Booking.com","AMD 10,825","11 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d6438065-Reviews-Nirvana-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Best Western Bohemian Resort","Booking.com","AMD 28,500","73 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d1382439-Reviews-Best_Western_Bohemian_Resort-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Hotel Sevano","Booking.com","AMD 41,658","2 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d12844184-Reviews-Hotel_Sevano-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Serik & Geora Guesthouse","Booking.com","AMD 10,833","4 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d12732298-Reviews-Serik_Geora_Guesthouse-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Guest House Krunk","Booking.com","AMD 32,250","1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d12770489-Reviews-Guest_House_Krunk-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"VAN - Hotel & Restaurant Complex","Booking.com","AMD 37,500","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d12847672-Reviews-VAN_Hotel_Restaurant_Complex-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Armenia Van Sevan Hotel","Expedia.com","AMD 22,500","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d14025015-Reviews-Armenia_Van_Sevan_Hotel-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Armine's B&B - Bed and Breakfast","Booking.com","AMD 15,229","0 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d13231889-Reviews-Armine_s_B_B_Bed_and_Breakfast-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Astxik","Booking.com","AMD 19,125","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d15602645-Reviews-Astxik-Sevan_Lake_Sevan_Gegharkunik_Province.html"
