"name","Provider","Price","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","link"
"Paris Hotel","Booking.com","AMD 40,833","449 reviews","Free Wifi","","Free parking","","Visit hotel website","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7004445-Reviews-Paris_Hotel-Yerevan.html"
"Republica Hotel Yerevan","Booking.com","AMD 45,000","696 reviews","Free Wifi","Breakfast included","","","Visit hotel website","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6731098-Reviews-Republica_Hotel_Yerevan-Yerevan.html"
"My Hotel Yerevan","Booking.com","AMD 23,750","160 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6702577-Reviews-My_Hotel_Yerevan-Yerevan.html"
"Best Western Plus Congress Hotel","Booking.com","AMD 33,150","636 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d308336-Reviews-Best_Western_Plus_Congress_Hotel-Yerevan.html"
"Armenia Marriott Hotel Yerevan","Marriott Hotels","AMD 40,800","794 reviews","","","Free parking","","Visit hotel website","","Restaurant","https://www.tripadvisor.com//Hotel_Review-g293932-d299732-Reviews-Armenia_Marriott_Hotel_Yerevan-Yerevan.html"
"Hyatt Place Yerevan","Expedia.com","AMD 36,908","314 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d5281493-Reviews-Hyatt_Place_Yerevan-Yerevan.html"
"DoubleTree by Hilton Hotel Yerevan City Centre","Booking.com","AMD 38,400","388 reviews","Free Wifi","","Free parking","","Visit hotel website","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8029079-Reviews-DoubleTree_by_Hilton_Hotel_Yerevan_City_Centre-Yerevan.html"
"Grand Hotel Yerevan","Expedia.com","AMD 65,910","385 reviews","Free Wifi","","","Pool","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d585269-Reviews-Grand_Hotel_Yerevan-Yerevan.html"
"Radisson Blu Hotel, Yerevan","Expedia.com","AMD 36,001","129 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10518419-Reviews-Radisson_Blu_Hotel_Yerevan-Yerevan.html"
"Azoyan Guest House","Booking.com","AMD 32,000","70 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6648449-Reviews-Azoyan_Guest_House-Yerevan.html"
"Roma Hotel Complex","Booking.com","AMD 23,333","110 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d5218005-Reviews-Roma_Hotel_Complex-Yerevan.html"
"Envoy Hostel and Tours","Booking.com","AMD 20,417","363 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d595944-Reviews-Envoy_Hostel_and_Tours-Yerevan.html"
"Nova Hotel","Booking.com","AMD 35,250","257 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10100256-Reviews-Nova_Hotel-Yerevan.html"
"Kantar","Booking.com","AMD 21,000","182 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6984429-Reviews-Kantar-Yerevan.html"
"Tufenkian Historic Yerevan Hotel","Expedia.com","AMD 33,934","424 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3634113-Reviews-Tufenkian_Historic_Yerevan_Hotel-Yerevan.html"
"Deluxe Hotel Yerevan","Booking.com","AMD 15,000","246 reviews","Free Wifi","","Free parking","","Visit hotel website","Special Offer","","https://www.tripadvisor.com//Hotel_Review-g293932-d1479879-Reviews-Deluxe_Hotel_Yerevan-Yerevan.html"
"HyeLandz Eco Village Resort","Booking.com","AMD 38,095","118 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3512376-Reviews-HyeLandz_Eco_Village_Resort-Yerevan.html"
"Mia Casa Hotel Yerevan","Booking.com","AMD 23,325","73 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d11643507-Reviews-Mia_Casa_Hotel_Yerevan-Yerevan.html"
"Erebuni Hotel","Booking.com","AMD 37,500","178 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d1216356-Reviews-Erebuni_Hotel-Yerevan.html"
"Areg Hotel","Booking.com","AMD 22,875","122 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d1137158-Reviews-Areg_Hotel-Yerevan.html"
"14th Floor Hotel","Expedia.com","AMD 33,589","90 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2038096-Reviews-14th_Floor_Hotel-Yerevan.html"
"Hostel Bivouac","Booking.com","AMD 7,492","47 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12379420-Reviews-Hostel_Bivouac-Yerevan.html"
"Komitas Avenue Guest House","Agoda.com","AMD 6,648","37 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12494833-Reviews-Komitas_Avenue_Guest_House-Yerevan.html"
"Silachi Hotel","Booking.com","AMD 24,167","139 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2442929-Reviews-Silachi_Hotel-Yerevan.html"
"Cross Resort Hotel","Booking.com","AMD 20,000","53 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6279855-Reviews-Cross_Resort_Hotel-Yerevan.html"
"Olympia Hotel","Booking.com","AMD 20,667","109 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d308340-Reviews-Olympia_Hotel-Yerevan.html"
"ibis Yerevan Center Hotel","Hotels.com",NA,"339 reviews","Free Wifi","","Free parking","","Visit hotel website","","","https://www.tripadvisor.com//Hotel_Review-g293932-d11665411-Reviews-Ibis_Yerevan_Center_Hotel-Yerevan.html"
"Hotel Meg","Hotels.com",NA,"182 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d1232920-Reviews-Hotel_Meg-Yerevan.html"
"JR's House","Hotels.com",NA,"109 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d4267841-Reviews-JR_s_House-Yerevan.html"
"Opera Suite Hotel","Hotels.com",NA,"156 reviews","Free Wifi","","Free parking","","Visit hotel website","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8280822-Reviews-Opera_Suite_Hotel-Yerevan.html"
"Sochi Palace Hotel","Booking.com","AMD 11,553","81 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d4163416-Reviews-Sochi_Palace_Hotel-Yerevan.html"
"Yerevan Hostel","Booking.com","AMD 9,500","132 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2054510-Reviews-Yerevan_Hostel-Yerevan.html"
"Hostel Glide","Booking.com","AMD 7,500","60 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2090583-Reviews-Hostel_Glide-Yerevan.html"
"Areve Residence Boutique Hotel","Booking.com","AMD 23,990","26 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12135475-Reviews-Areve_Residence_Boutique_Hotel-Yerevan.html"
"North Avenue Hotel","Booking.com","AMD 35,000","73 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d4619506-Reviews-North_Avenue_Hotel-Yerevan.html"
"Center Hostel","Booking.com","AMD 7,500","45 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2079045-Reviews-Center_Hostel-Yerevan.html"
"Bridge Hostel Yerevan Armenia","Booking.com","AMD 10,825","28 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10102032-Reviews-Bridge_Hostel_Yerevan_Armenia-Yerevan.html"
"Panorama Yerevan Resort","Booking.com","AMD 28,500","40 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d5975411-Reviews-Panorama_Yerevan_Resort-Yerevan.html"
"Messier 53 Hotel Yerevan","Booking.com","AMD 41,658","74 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12311601-Reviews-Messier_53_Hotel_Yerevan-Yerevan.html"
"Three Jugs","Booking.com","AMD 10,833","60 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2229384-Reviews-Three_Jugs-Yerevan.html"
"Aviatrans","Booking.com","AMD 32,250","170 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d308337-Reviews-Aviatrans-Yerevan.html"
"Diamond Hotel Yerevan","Booking.com","AMD 37,500","88 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6839245-Reviews-Diamond_Hotel_Yerevan-Yerevan.html"
"Bass Boutique Hotel","Expedia.com","AMD 22,500","108 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d308335-Reviews-Bass_Boutique_Hotel-Yerevan.html"
"City Centre Hotel by Picnic","Booking.com","AMD 15,229","93 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7786379-Reviews-City_Centre_Hotel_by_Picnic-Yerevan.html"
"Hotel Regineh","Booking.com","AMD 19,125","82 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d1237108-Reviews-Hotel_Regineh-Yerevan.html"
"Umba Hostel","Booking.com","AMD 9,167","65 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8408895-Reviews-Umba_Hostel-Yerevan.html"
"Hotel National","Booking.com","AMD 40,833","107 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3873711-Reviews-Hotel_National-Yerevan.html"
"Daniel Boutique Hotel","Booking.com","AMD 21,992","25 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12385925-Reviews-Daniel_Boutique_Hotel-Yerevan.html"
"Grand Hostel Yerevan","Booking.com","AMD 12,843","69 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6761410-Reviews-Grand_Hostel_Yerevan-Yerevan.html"
"Cascade Hotel","Booking.com","AMD 30,508","98 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6213513-Reviews-Cascade_Hotel-Yerevan.html"
"Central Hotel","Expedia.com","AMD 37,448","34 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12591914-Reviews-Central_Hotel-Yerevan.html"
"Arthurs Aghveran Resort","Agoda.com","AMD 16,561","90 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d817383-Reviews-Arthurs_Aghveran_Resort-Yerevan.html"
"Villa Delenda","Booking.com","AMD 29,167","90 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d1903421-Reviews-Villa_Delenda-Yerevan.html"
"Holiday Inn Express Yerevan","Booking.com","AMD 25,250","27 reviews","Free Wifi","","Free parking","","Visit hotel website","Special Offer","","https://www.tripadvisor.com//Hotel_Review-g293932-d15098482-Reviews-Holiday_Inn_Express_Yerevan-Yerevan.html"
"Boulevard Hotel","Expedia.com","AMD 26,174","36 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12486956-Reviews-Boulevard_Hotel-Yerevan.html"
"FindArmenia Hostel","Booking.com","AMD 6,658","30 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10127306-Reviews-FindArmenia_Hostel-Yerevan.html"
"Imperial Palace Hotel","Hotels.com",NA,"154 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d4886384-Reviews-Imperial_Palace_Hotel-Yerevan.html"
"Planet Hotel","Hotels.com",NA,"22 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7890784-Reviews-Planet_Hotel-Yerevan.html"
"Best Eastern Hotel Metropol","Booking.com","AMD 22,500","110 reviews","Free Wifi","","","Pool","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d308339-Reviews-Best_Eastern_Hotel_Metropol-Yerevan.html"
"Albert House","Booking.com","AMD 10,000","22 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8787032-Reviews-Albert_House-Yerevan.html"
"Silk Road Hotel","Booking.com","AMD 19,375","70 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8112204-Reviews-Silk_Road_Hotel-Yerevan.html"
"Venezia Palazzo","Booking.com","AMD 16,667","33 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6908328-Reviews-Venezia_Palazzo-Yerevan.html"
"Capital Hotel","Booking.com","AMD 17,000","35 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2387920-Reviews-Capital_Hotel-Yerevan.html"
"Art Hotel","Booking.com","AMD 18,333","40 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8112220-Reviews-Art_Hotel-Yerevan.html"
"Primer Hotel","Booking.com","AMD 13,260","39 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2214444-Reviews-Primer_Hotel-Yerevan.html"
"Princ Plaza Hotel","Booking.com","AMD 9,900","18 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6153148-Reviews-Princ_Plaza_Hotel-Yerevan.html"
"Green Palace Hotel","Booking.com","AMD 14,875","19 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3265300-Reviews-Green_Palace_Hotel-Yerevan.html"
"KaTun  Hostel","Expedia.com","AMD 7,406","15 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d14411765-Reviews-KaTun_Hostel-Yerevan.html"
"SD Hotel","Booking.com","AMD 15,341","50 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3545290-Reviews-SD_Hotel-Yerevan.html"
"Feel Inn Hostel","Agoda.com","AMD 6,658","14 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8039152-Reviews-Feel_Inn_Hostel-Yerevan.html"
"Aghababyan's Hotel","Expedia.com","AMD 44,523","7 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15855853-Reviews-Aghababyan_s_Hotel-Yerevan.html"
"Minotel Barsam Suites","Agoda.com","AMD 28,088","90 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7148555-Reviews-Minotel_Barsam_Suites-Yerevan.html"
"The Alexander, a Luxury Collection Hotel, Yerevan","Expedia.com","AMD 95,869","15 reviews","Free Wifi","","","Pool","Visit hotel website","Special Offer","","https://www.tripadvisor.com//Hotel_Review-g293932-d13950040-Reviews-The_Alexander_a_Luxury_Collection_Hotel_Yerevan-Yerevan.html"
"Ossanna Hotel","Booking.com","AMD 11,658","15 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10053016-Reviews-Ossanna_Hotel-Yerevan.html"
"Benefice Hotel & Tours","Booking.com","AMD 15,000","23 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8443500-Reviews-Benefice_Hotel_Tours-Yerevan.html"
"Artsakh Hotel","Booking.com","AMD 29,167","28 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7185856-Reviews-Artsakh_Hotel-Yerevan.html"
"Vagary Hostel","Booking.com","AMD 14,583","21 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10119572-Reviews-Vagary_Hostel-Yerevan.html"
"Elysium Gallery Hotel","Booking.com","AMD 20,583","44 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8498551-Reviews-Elysium_Gallery_Hotel-Yerevan.html"
"MGA Hostel & Tours","Booking.com","AMD 10,850","37 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8005673-Reviews-MGA_Hostel_Tours-Yerevan.html"
"Yerevan Boutique Hotel","Booking.com","AMD 22,158","17 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13536742-Reviews-Yerevan_Boutique_Hotel-Yerevan.html"
"Villa Ayghedzor","Booking.com","AMD 29,167","21 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3182495-Reviews-Villa_Ayghedzor-Yerevan.html"
"Hrazdan Hotel","Booking.com","AMD 23,333","100 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d308338-Reviews-Hrazdan_Hotel-Yerevan.html"
"Family Hotel","Booking.com","AMD 22,881","25 reviews","Free Wifi","","","","","","Restaurant","https://www.tripadvisor.com//Hotel_Review-g293932-d2442938-Reviews-Family_Hotel-Yerevan.html"
"Nare Hotel","Booking.com","AMD 28,050","27 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d4324987-Reviews-Nare_Hotel-Yerevan.html"
"Dreams Hotel","Booking.com","AMD 12,492","7 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12309928-Reviews-Dreams_Hotel-Yerevan.html"
"Ararat hotel","Booking.com","AMD 31,500","95 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d308332-Reviews-Ararat_hotel-Yerevan.html"
"Armenian Royal Palace Hotel","Booking.com","AMD 16,667","53 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d1200811-Reviews-Armenian_Royal_Palace_Hotel-Yerevan.html"
"Golden Palace Hotel Yerevan","Expedia.com","AMD 74,900","14 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13457134-Reviews-Golden_Palace_Hotel_Yerevan-Yerevan.html"
"Welcome Friends Hostel","Booking.com","AMD 14,990","4 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15024437-Reviews-Welcome_Friends_Hostel-Yerevan.html"
"Miami International Suite Hotel","Booking.com","AMD 10,825","9 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10786964-Reviews-Miami_International_Suite_Hotel-Yerevan.html"
"Park Apartments by Picnic","Booking.com","AMD 12,750","12 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d5322339-Reviews-Park_Apartments_by_Picnic-Yerevan.html"
"Adams Hotel","Booking.com","AMD 22,500","11 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12456038-Reviews-Adams_Hotel-Yerevan.html"
"Classic Hostel Yervan","Booking.com","AMD 9,524","15 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7923624-Reviews-Classic_Hostel_Yervan-Yerevan.html"
"L'image Art Hotel","Booking.com","AMD 23,240","12 reviews","","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d14780154-Reviews-L_image_Art_Hotel-Yerevan.html"
"Hotel Tigran Mets","Booking.com","AMD 20,833","28 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8783668-Reviews-Hotel_Tigran_Mets-Yerevan.html"
"Royal Plaza Hotel","Expedia.com","AMD 41,607","89 reviews","Free Wifi","","","","","","Restaurant","https://www.tripadvisor.com//Hotel_Review-g293932-d5085060-Reviews-Royal_Plaza_Hotel-Yerevan.html"
"Bien Hotel","Booking.com","AMD 22,500","8 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d14029725-Reviews-Bien_Hotel-Yerevan.html"
"Park Hotel","Booking.com","AMD 20,800","24 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8099642-Reviews-Park_Hotel-Yerevan.html"
"Balcony Villa Hostel","Booking.com","AMD 11,667","11 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7022258-Reviews-Balcony_Villa_Hostel-Yerevan.html"
"Arm Hostel","Booking.com","AMD 10,000","18 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10052301-Reviews-Arm_Hostel-Yerevan.html"
"Friendship Hostel & Tours","Booking.com","AMD 10,000","23 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12214565-Reviews-Friendship_Hostel_Tours-Yerevan.html"
"Forum Hotel","Booking.com","AMD 30,000","46 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6206559-Reviews-Forum_Hotel-Yerevan.html"
"Apri Hostel","Booking.com","AMD 13,075","6 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13493137-Reviews-Apri_Hostel-Yerevan.html"
"Apricot Hotel Yerevan","Booking.com","AMD 25,333","6 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15816804-Reviews-Apricot_Hotel_Yerevan-Yerevan.html"
"Comfort House Hotel","Booking.com","AMD 10,833","20 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8004164-Reviews-Comfort_House_Hotel-Yerevan.html"
"MBM Hotel Yerevan","Booking.com","AMD 15,617","5 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13965226-Reviews-MBM_Hotel_Yerevan-Yerevan.html"
"Master's House Dayan","Booking.com","AMD 13,325","6 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10817665-Reviews-Master_s_House_Dayan-Yerevan.html"
"FlatsInYerevan","Booking.com","AMD 21,467","12 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7179599-Reviews-FlatsInYerevan-Yerevan.html"
"Amber","Booking.com","AMD 17,250","11 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7134404-Reviews-Amber-Yerevan.html"
"Golden Eagle Guesthouse","Booking.com","AMD 12,500","10 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3870831-Reviews-Golden_Eagle_Guesthouse-Yerevan.html"
"Praha Hotel","Booking.com","AMD 18,333","9 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d9603327-Reviews-Praha_Hotel-Yerevan.html"
"Mashtots Hotel","Booking.com","AMD 18,325","15 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12120962-Reviews-Mashtots_Hotel-Yerevan.html"
"Caucasus Hotel","Booking.com","AMD 18,333","56 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6885249-Reviews-Caucasus_Hotel-Yerevan.html"
"Mirage Hotel","Booking.com","AMD 20,000","6 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8337431-Reviews-Mirage_Hotel-Yerevan.html"
"Prime Hotel & Hostel","Booking.com","AMD 12,954","18 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10309061-Reviews-Prime_Hotel_Hostel-Yerevan.html"
"Holiday Hotel & Hostel By Picnic","Booking.com","AMD 19,000","5 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10515454-Reviews-Holiday_Hotel_Hostel_By_Picnic-Yerevan.html"
"Nor Dzoraberd Hotel","Booking.com","AMD 18,000","7 reviews","Free Wifi","","","","","","Restaurant","https://www.tripadvisor.com//Hotel_Review-g293932-d6864096-Reviews-Nor_Dzoraberd_Hotel-Yerevan.html"
"Guest House West Yerevan","Booking.com","AMD 9,908","5 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10502794-Reviews-Guest_House_West_Yerevan-Yerevan.html"
"Latar Hotel","Expedia.com","AMD 91,544","19 reviews","Free Wifi","Breakfast included","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d4176271-Reviews-Latar_Hotel-Yerevan.html"
"Alba Hotel Yerevan","Booking.com","AMD 18,325","7 reviews","Free Wifi","Breakfast included","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15109993-Reviews-Alba_Hotel_Yerevan-Yerevan.html"
"My Apartments Yerevan","Expedia.com","AMD 24,648","7 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12288288-Reviews-My_Apartments_Yerevan-Yerevan.html"
"Aram Guest House","Booking.com","AMD 8,333","7 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6681700-Reviews-Aram_Guest_House-Yerevan.html"
"Kesabella Touristic House","Expedia.com","AMD 12,500","5 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7059740-Reviews-Kesabella_Touristic_House-Yerevan.html"
"Guest House 1","Booking.com","AMD 9,992","5 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12928426-Reviews-Guest_House_1-Yerevan.html"
"Villa Rosa","Expedia.com","AMD 17,500","14 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6215394-Reviews-Villa_Rosa-Yerevan.html"
"Mini Hostel Tigranyan 5","Booking.com","AMD 7,990","4 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10454255-Reviews-Mini_Hostel_Tigranyan_5-Yerevan.html"
"Bomo Nairi Hotel","Booking.com","AMD 17,075","81 reviews","Free Wifi","Breakfast included","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d622382-Reviews-Bomo_Nairi_Hotel-Yerevan.html"
"Radiance Hostel and Tours","Booking.com","AMD 7,492","6 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13495955-Reviews-Radiance_Hostel_and_Tours-Yerevan.html"
"Republic Square Hostel","Booking.com","AMD 9,992","6 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d11771505-Reviews-Republic_Square_Hostel-Yerevan.html"
"Eder Hostel","Booking.com","AMD 12,492","3 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13002894-Reviews-Eder_Hostel-Yerevan.html"
